filename,width,height,class,xmin,ymin,xmax,ymax
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,406,352,474,418
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,379,245,392,276
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,273,274,309,334
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,289,224,640,308
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,220,305,237,368
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,75,486,108,524
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,189,48,274,92
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,404,94,429,105
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,351,350,377,382
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,301,363,345,406
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,158,138,456,384
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,463,382,496,407
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,340,466,371,495
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,237,55,626,594
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,242,37,464,344
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,193,294,222,334
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,315,281,330,337
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,183,53,424,580
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,0,192,454,480
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,411,282,422,344
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,240,122,311,180
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,215,56,421,356
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,245,209,297,269
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,203,256,253,432
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,110,566,155,615
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,211,288,529,530
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,293,428,336,450
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,300,356,344,405
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,265,181,450,467
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,83,415,112,499
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,181,232,223,285
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,452,295,530,331
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,113,343,136,451
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,98,173,533,357
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,115,173,614,586
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,284,140,501,468
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,105,243,358,313
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,362,260,379,343
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,187,221,231,272
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,297,354,338,405
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,264,56,371,107
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,133,206,386,428
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,472,289,483,316
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,231,488,279,539
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,293,428,336,450
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,180,128,479,390
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,288,268,340,321
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,314,290,416,374
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,223,62,431,360
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,273,274,309,334
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,291,292,341,344
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,102,476,143,543
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,171,300,187,325
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,128,528,161,633
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,154,198,379,449
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,290,421,348,448
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,308,564,347,634
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,356,581,375,640
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,162,47,466,310
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,157,384,178,582
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,412,174,476,489
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,192,396,222,431
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,362,236,568,432
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,276,367,313,391
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,229,269,281,329
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,207,570,259,609
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,444,162,481,216
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,425,327,429,362
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,52,71,599,569
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,142,285,588,418
knife/DefenseKnifeAttack0942_jpg.rf.989b4820d03c86f8f17516f66ba9a0c0.jpg,640,640,knife,263,539,345,586
